Date,Close,High,Low,Open,Volume
25/01/2022,4356.450195,4411.009766,4287.109863,4366.640137,5145050000
26/01/2022,4349.930176,4453.22998,4304.799805,4408.430176,5570640000
27/01/2022,4326.509766,4428.740234,4309.5,4380.580078,5214200000
28/01/2022,4431.850098,4432.720215,4292.459961,4336.189941,5031090000
31/01/2022,4515.549805,4516.890137,4414.02002,4431.790039,5098610000
01/02/2022,4546.540039,4550.490234,4483.529785,4519.569824,4816830000
02/02/2022,4589.379883,4595.310059,4544.319824,4566.390137,4481580000
03/02/2022,4477.439941,4542.879883,4470.390137,4535.410156,4401970000
04/02/2022,4500.529785,4539.660156,4451.5,4482.790039,4706290000
07/02/2022,4483.870117,4521.859863,4471.470215,4505.75,4228480000
08/02/2022,4521.540039,4531.319824,4465.399902,4480.02002,4459620000
09/02/2022,4587.180176,4590.029785,4547,4547,4524350000
10/02/2022,4504.080078,4588.919922,4484.310059,4553.240234,5314860000
11/02/2022,4418.640137,4526.330078,4401.410156,4506.27002,5251500000
14/02/2022,4401.669922,4426.220215,4364.839844,4412.609863,4600390000
15/02/2022,4471.069824,4472.77002,4429.279785,4429.279785,4430830000
16/02/2022,4475.009766,4489.549805,4429.680176,4455.75,4283640000
17/02/2022,4380.259766,4456.060059,4373.810059,4456.060059,4539420000
18/02/2022,4348.870117,4394.600098,4327.220215,4384.569824,4708060000
22/02/2022,4304.759766,4362.120117,4267.109863,4332.740234,5121900000
23/02/2022,4225.5,4341.509766,4221.509766,4324.930176,4797430000
24/02/2022,4288.700195,4294.72998,4114.649902,4155.77002,6752130000
25/02/2022,4384.649902,4385.339844,4286.830078,4298.379883,5177060000
28/02/2022,4373.939941,4388.839844,4315.120117,4354.169922,6071370000
01/03/2022,4306.259766,4378.450195,4279.540039,4363.140137,5846230000
02/03/2022,4386.540039,4401.47998,4322.560059,4322.560059,5337870000
03/03/2022,4363.490234,4416.779785,4345.560059,4401.310059,5039890000
04/03/2022,4328.870117,4342.120117,4284.97998,4342.120117,5797380000
07/03/2022,4201.089844,4327.009766,4199.850098,4327.009766,6940470000
08/03/2022,4170.700195,4276.939941,4157.870117,4202.660156,7243120000
09/03/2022,4277.879883,4299.399902,4223.100098,4223.100098,5662670000
10/03/2022,4259.52002,4268.279785,4209.799805,4252.549805,4980830000
11/03/2022,4204.310059,4291.009766,4200.490234,4279.5,4938640000
14/03/2022,4173.109863,4247.569824,4161.720215,4202.75,5574920000
15/03/2022,4262.450195,4271.049805,4187.899902,4188.819824,5392470000
16/03/2022,4357.859863,4358.899902,4251.990234,4288.140137,6309750000
17/03/2022,4411.669922,4412.669922,4335.649902,4345.109863,4985090000
18/03/2022,4463.120117,4465.399902,4390.569824,4407.339844,8278430000
21/03/2022,4461.180176,4481.75,4424.299805,4462.399902,4869820000
22/03/2022,4511.609863,4522,4469.100098,4469.100098,4754840000
23/03/2022,4456.240234,4501.069824,4455.810059,4493.100098,4550670000
24/03/2022,4520.160156,4520.580078,4465.169922,4469.97998,4131390000
25/03/2022,4543.060059,4546.029785,4501.069824,4522.910156,4305020000
28/03/2022,4575.52002,4575.649902,4517.689941,4541.089844,4312260000
29/03/2022,4631.600098,4637.299805,4589.660156,4602.859863,5085910000
30/03/2022,4602.450195,4627.77002,4581.319824,4624.200195,4385570000
31/03/2022,4530.410156,4603.069824,4530.410156,4599.02002,4823020000
01/04/2022,4545.859863,4548.700195,4507.569824,4540.319824,4562940000
04/04/2022,4582.640137,4583.5,4539.209961,4547.970215,4547350000
05/04/2022,4525.120117,4593.450195,4514.169922,4572.450195,4800620000
06/04/2022,4481.149902,4503.939941,4450.040039,4494.169922,4986830000
07/04/2022,4500.209961,4521.160156,4450.299805,4474.649902,4821490000
08/04/2022,4488.279785,4520.410156,4474.600098,4494.149902,4083200000
11/04/2022,4412.529785,4464.350098,4408.379883,4462.640137,4266290000
12/04/2022,4397.450195,4471,4381.339844,4437.589844,4152090000
13/04/2022,4446.589844,4453.919922,4392.700195,4394.299805,3828150000
14/04/2022,4392.589844,4460.459961,4390.77002,4449.120117,4083090000
